price,beds,bath,laundry,pets,housing_type,parking,hood_district
2490,0,1,(b) on-site,(a) both,(c) multi,(b) protected,9
1950,0,1,(b) on-site,(c) cats,(c) multi,(d) no parking,8
1895,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
3090,0,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2246,0,1,(a) in-unit,(a) both,(c) multi,(b) protected,2
2137,2,1,(b) on-site,(a) both,(c) multi,(d) no parking,8
2495,2,1,(b) on-site,(b) dogs,(c) multi,(d) no parking,8
3290,0,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2890,0,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2895,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,5
2345,1,1,(c) no laundry,(c) cats,(c) multi,(d) no parking,2
2299,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,9
1948,0,1,(a) in-unit,(a) both,(c) multi,(d) no parking,8
1948,0,1,(a) in-unit,(a) both,(c) multi,(d) no parking,9
2200,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2200,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,8
3490,2,1,(a) in-unit,(a) both,(c) multi,(d) no parking,5
2200,1,1,(b) on-site,(a) both,(c) multi,(d) no parking,7
3100,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,7
1800,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2050,0,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,1
3990,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
1800,0,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,8
2500,1,1,(a) in-unit,(d) no pets,(c) multi,(d) no parking,5
2400,0,1,(b) on-site,(d) no pets,(c) multi,(b) protected,5
2600,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,7
2075,0,1,(b) on-site,(a) both,(c) multi,(d) no parking,7
3200,1,1,(b) on-site,(a) both,(c) multi,(b) protected,2
1895,1,1,(a) in-unit,(d) no pets,(c) multi,(d) no parking,10
1895,1,1,(c) no laundry,(a) both,(c) multi,(d) no parking,8
1850,1,1,(b) on-site,(a) both,(c) multi,(b) protected,8
2195,2,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2395,0,1,(b) on-site,(d) no pets,(c) multi,(b) protected,1
1795,2,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,1
1695,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
1625,0,1,(b) on-site,(c) cats,(c) multi,(d) no parking,10
2195,1,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9
2100,0,1,(b) on-site,(a) both,(c) multi,(d) no parking,5
2000,0,1,(b) on-site,(d) no pets,(c) multi,(c) off-street,4
2725,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,6
2986,1,1,(a) in-unit,(a) both,(c) multi,(a) valet,9
2395,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2705,0,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2339,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2292,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,8
1820,0,1,(a) in-unit,(a) both,(c) multi,(d) no parking,9
2746,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2450,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,8
2280,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,8
2350,1,1,(b) on-site,(d) no pets,(c) multi,(b) protected,1
1699,1,1,(c) no laundry,(d) no pets,(b) double,(d) no parking,1
2099,0,1,(b) on-site,(a) both,(c) multi,(d) no parking,1
2000,0,1,(b) on-site,(d) no pets,(c) multi,(b) protected,6
2450,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
3066,1,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,9
2900,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,9
2915,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,5
2790,2,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2066,0,1,(a) in-unit,(a) both,(c) multi,(d) no parking,8
3500,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,7
2200,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
2100,0,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,7
2950,1,1,(a) in-unit,(d) no pets,(c) multi,(b) protected,9
1995,1,1,(b) on-site,(c) cats,(c) multi,(b) protected,2
2299,0,1,(b) on-site,(a) both,(c) multi,(d) no parking,6
2250,0,1,(b) on-site,(c) cats,(c) multi,(d) no parking,6
1799,0,1,(b) on-site,(d) no pets,(c) multi,(b) protected,8
2095,2,1,(c) no laundry,(a) both,(c) multi,(d) no parking,8
2750,1,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,2
2500,1,1,(b) on-site,(b) dogs,(c) multi,(d) no parking,2
1500,1,1,(a) in-unit,(d) no pets,(b) double,(d) no parking,2
1899,0,1,(b) on-site,(d) no pets,(c) multi,(b) protected,8
1890,1,1,(c) no laundry,(d) no pets,(c) multi,(d) no parking,7
1699,1,1,(c) no laundry,(a) both,(c) multi,(d) no parking,6
3466,1,1,(a) in-unit,(a) both,(c) multi,(d) no parking,5
2600,1,1,(a) in-unit,(d) no pets,(c) multi,(d) no parking,8
2900,1,1,(a) in-unit,(d) no pets,(c) multi,(d) no parking,9
2399,1,1,(a) in-unit,(d) no pets,(c) multi,(a) valet,9
3100,1,1,(c) no laundry,(a) both,(c) multi,(d) no parking,7
2395,0,1,(b) on-site,(d) no pets,(c) multi,(d) no parking,8
1980,1,1,(a) in-unit,(a) both,(c) multi,(b) protected,10
